palavra_chave,categoria,supercategoria
ifood,Delivery,Alimentação
uber,Transporte,Transporte
99,Transporte,Transporte
farmacia,Farmácia,Saúde
drogasil,Farmácia,Saúde
netflix,Streaming,Entretenimento
mercado livre,Compras Online,E-commerce
amazon,Compras Online,E-commerce
drogaria,Farmácia,Saúde
sigma,Escola,Educação
atacadao,Mercado,Alimentação
campeao,Construção,Casa
cantina,Refeição,Alimentação
posto,Combustível,Transporte
manga,Refeição,Alimentação
adidas,Vestuário,Pessoal
petrobras,Combustível,Transporte
leroy,Construção,Casa
lanches,Refeição,Alimentação
bubble,Refeição,Alimentação
mikami,Mercado,Alimentação
xique,Refeição,Alimentação
jabaso,Construção,Casa
jobaso,Construção,Casa
varejao,Mercado,Alimentação
rest,Refeição,Alimentação
bolos,Refeição,Alimentação
rest,Refeição,Alimentação
peixaria,Mercado,Alimentação
paes,Refeição,Alimentação
azul,Passagem,Transporte
gol,Passagem,Transporte
honda,Manutencao,Transporte
swift,Mercado,Alimentação
optica,Óptica,Saúde
riachuelo,Vestuário,Pessoal
laboratorio,Exames,Saúde
loccitane,Cosméticos,Pessoal
combust,Combustível,Transporte
uninassau,Faculdade,Educação
farma,Farmácia,Saúde
asics,Vestuário,Pessoal
puma,Vestuário,Pessoal
itidai,Mercado,Alimentação
open,Beleza,Pessoal
cobasi,Pet
japao,Construção,Casa
trigo,Refeição,Alimentação
farma,Farmácia,Saúde
hortifruti,Mercado,Alimentação
daiso,Utensílio,Casa
centauro,Vestuário,Pessoal
tintas,Construção,Casa
otica,Óptica,Saúde
toscanello,Mercado,Alimentação
sams,Mercado,Alimentação
coco,Refeição,Alimentação
kazu,Refeição,Alimentação
starbucks,Refeição,Alimentação
maria amelia,Refeição,Alimentação
nfs,Vestuário,Pessoal
peixe,Refeição,Alimentação
mcdonalds,Refeição,Alimentação
anuidade,Anuidade,Financeiro
auto shopping,Combustível,Transporte
camarao,Refeição,Alimentação
sorvetes,Refeição,Alimentação
levis,Vestuário,Pessoal
new balance,Vestuário,Pessoal
park,Estacionamento,Transporte
cacau,Refeição,Alimentação
doces,Refeição,Alimentação
pizza,Refeição,Alimentação
verduras,Mercado,Alimentação
panificadora,Refeição,Alimentação
estapar,Estacionamento,Transporte
via jardim botanico,Construção,Casa
kalunga,Material,Educação
assados,Refeição,Alimentação
frutas,Mercado,Alimentação
pgto,Financeiro,Financeiro
constru,Construção,Casa
jeriva,Refeição,Alimentação
amazon,Compras Online,E-commerce
madeira,Construção,Casa
havaianas,Vestuário,Pessoal
condom,Refeição,Alimentação
sempre viva,Construção,Casa
ac coelho,Construção,Casa
ikesaki,Cosméticos,Pessoal
grandestorcid,Presente,Pessoal
bio mundo,Mercado,Alimentação
papelaria,Material,Educação
tennis,Vestuário,Pessoal
petz,Pet
cea,Vestuário,Pessoal
cosmeticos,Cosméticos,Pessoal
donuts,Refeição,Alimentação
adega,Mercado,Alimentação
rihappy,Presente,Pessoal
yogoberry,Refeição,Alimentação
renner,Vestuário,Pessoal
cine,Entretenimento,Entretenimento
ticket,Entretenimento,Entretenimento
tenmanya,Decoração,Casa
livraria,Livros,Entretenimento
acai,Refeição,Alimentação
pastel,Refeição,Alimentação
porto seguro,Seguros,Financeiro
latam,Passagem,Transporte
mercadolivre,Compras Online,E-commerce
viaoeste,Pedágio,Transporte
marukai,Mercado,Alimentação
burger,Refeição,Alimentação
burguer,Refeição,Alimentação
tortas,Refeição,Alimentação
reparos,Construção,Casa
nestle,Refeição,Alimentação
decathlon,Vestuário,Pessoal
americanas,Compras Online,E-commerce
sephora,Cosméticos,Pessoal
amiga,Refeição,Alimentação
fish,Pet
aliexpress,Compras Online,E-commerce